epsiode_no,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
1,9.419999999999888,0.0,0.0,33.5633313055,0.0,0.0,0.0,0.0,0.0,-0.425500395995,0.0,0.0,0.0,0,0,0,0,11.5527705915
1,9.479999999999887,0.0,0.0,33.6077795705,0.0,0.0,0.0,0.0,0.0,1.90634784394,0.0,0.0,0.0,14,14,14,14,11.5365978694
1,9.539999999999885,0.0,0.0,33.7042279109,0.0,0.0,0.0,0.0,0.0,1.30948370052,0.0,0.0,0.0,0,0,0,0,11.4308106765
1,9.599999999999884,0.0,0.0,33.765021464,0.0,0.0,0.0,0.0,0.0,0.717540733001,0.0,0.0,0.0,0,0,0,0,11.3480375104
1,9.659999999999883,0.0,0.0,33.7903925422,0.0,0.0,0.0,0.0,0.0,0.12842888604,0.0,0.0,0.0,0,0,0,0,11.3059286654
1,9.719999999999882,0.0,0.0,33.7804494731,0.0,0.0,0.0,0.0,0.0,-0.45989904282,0.0,0.0,0.0,0,0,0,0,11.3038651741
1,9.77999999999988,0.0,0.0,33.7351782845,0.0,0.0,0.0,0.0,0.0,-1.04947652386,0.0,0.0,0.0,0,0,0,0,11.3417947675
1,9.839999999999879,0.0,0.0,33.7421555047,0.0,0.0,0.0,0.0,0.0,1.28258075626,0.0,0.0,0.0,14,14,14,14,11.3683878727
1,9.899999999999878,0.0,0.0,33.801340491,0.0,0.0,0.0,0.0,0.0,0.690810785254,0.0,0.0,0.0,0,0,0,0,11.3062911906
1,9.959999999999877,0.0,0.0,33.8251105706,0.0,0.0,0.0,0.0,0.0,0.101778503882,0.0,0.0,0.0,0,0,0,0,11.2661436657
1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7.50816591257
